Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
Nepenthes bicalcarata 'Fanged',nepenthes-bicalcarata,The famous fanged pitcher plant. A true giant of the lowland swamps from Borneo.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Intermediate, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes bicalcarata,Borneo,0-300m,85%+,24°C - 35°C,Peat/Sand/Sphagnum,BT-BC-007,Fast,Partial Shade,Seedling (5cm Pot),NEPENTHES-BICALCARATA-S,145.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_bicalcarata.jpg?width=1024,1
,nepenthes-bicalcarata,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-BICALCARATA-E,210.25,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthesbicalcarata1.jpg?width=1024,2
,nepenthes-bicalcarata,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-BICALCARATA-L,362.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_bicalcarata_(cultivated1).jpg?width=1024,3
,nepenthes-bicalcarata,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_bicalcarata_Macfarlane_illustration.jpg?width=1024,4
,nepenthes-bicalcarata,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_bicalcarata_Kebun_Raya_Bogor.jpg?width=1024,5
Pinguicula 'Aphrodite',pinguicula-aphrodite,"A stunning Mexican Butterwort hybrid with long, elegant leaves and bright pink orchid-like flowers.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Pinguicula,"Coll: Beginners, Level: Easy, Region: Hybrid, Status: Verified",TRUE,active,Pot Size,Pinguicula (moctezumae x agnata),Mexico (Parents),1000-2000m,40%+,15°C - 28°C,Mineral Mix,BT-PG-012,Moderate,Bright Indirect,Seedling (5cm Pot),PINGUICULA-APHRODITE-S,25.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_'Aphrodite'.jpg?width=1024,1
,pinguicula-aphrodite,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),PINGUICULA-APHRODITE-E,36.25,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_'Aphrodite'_1.jpg?width=1024,2
,pinguicula-aphrodite,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),PINGUICULA-APHRODITE-L,62.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_'Aphrodite'_2.jpg?width=1024,3
,pinguicula-aphrodite,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_'Aphrodite'_flower.jpg?width=1024,4
,pinguicula-aphrodite,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_'Aphrodite'_habit.jpg?width=1024,5
Heliamphora minor (Auyan Tepui),heliamphora-minor,The iconic miniature Sun Pitcher from the Venezuelan tepuis. Requires high light and cool nights.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Heliamphora,"Coll: Rare Species, Level: Expert, Region: South America, Status: Verified",TRUE,active,Pot Size,Heliamphora minor,"Auyan Tepui, Venezuela",1500-2500m,70%+,8°C - 24°C,Sphagnum/Lava Rock,BT-HM-003,Slow,High Intensity,Seedling (5cm Pot),HELIAMPHORA-MINOR-S,180.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_minor_Auyan-tepui.jpg?width=1024,1
,heliamphora-minor,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),HELIAMPHORA-MINOR-E,261.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_minor2.jpg?width=1024,2
,heliamphora-minor,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),HELIAMPHORA-MINOR-L,450.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_minor_-_Atlanta_Botanical_Garden.JPG?width=1024,3
,heliamphora-minor,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_minor_kz01.jpg?width=1024,4
,heliamphora-minor,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_minor_var_minor.jpg?width=1024,5
Cephalotus follicularis (Albany Pitcher),cephalotus-follicularis,"The unique West Australian Albany Pitcher plant. Famous for its small, complex, and colorful traps.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Cephalotus,"Coll: Rare Species, Level: Intermediate, Region: Australia, Status: Verified",TRUE,active,Pot Size,Cephalotus follicularis,"Albany, Australia",0-50m,60%+,10°C - 30°C,Peat/Perlite/Sand,BT-CF-001,Slow,Bright Direct,Seedling (5cm Pot),CEPHALOTUS-FOLLICULARIS-S,110.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_0001.JPG?width=1024,1
,cephalotus-follicularis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),CEPHALOTUS-FOLLICULARIS-E,159.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_002.jpg?width=1024,2
,cephalotus-follicularis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),CEPHALOTUS-FOLLICULARIS-L,275.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_01.jpg?width=1024,3
,cephalotus-follicularis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_Hennern_3.jpg?width=1024,4
,cephalotus-follicularis,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis001.jpg?width=1024,5
Utricularia alpina,utricularia-alpina,"An epiphytic bladderwort known for its large, white orchid-like flowers and subterranean traps.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Utricularia,"Coll: Tropicals, Level: Easy, Region: South America, Status: Verified",TRUE,active,Pot Size,Utricularia alpina,Antilles/South America,500-2000m,70%+,15°C - 26°C,Sphagnum/Orchid Bark,BT-UA-902,Moderate,Filtered Sun,Seedling (5cm Pot),UTRICULARIA-ALPINA-S,45.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_alpina.jpg?width=1024,1
,utricularia-alpina,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),UTRICULARIA-ALPINA-E,65.25,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_alpina_traps_Darwiniana.jpg?width=1024,2
,utricularia-alpina,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),UTRICULARIA-ALPINA-L,112.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_alpina_cultivated_flower.jpg?width=1024,3
,utricularia-alpina,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_alpina_kz01.jpg?width=1024,4
,utricularia-alpina,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_alpina_flower_closeup.jpg?width=1024,5
Darlingtonia californica (Cobra Lily),darlingtonia-californica,The unique cobra-like pitcher plant native to cold-water seeps in Oregon and California.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Darlingtonia,"Coll: Rare Species, Level: Intermediate, Region: North America, Status: Verified",TRUE,active,Pot Size,Darlingtonia californica,"Oregon/California, USA",0-2500m,50%+,5°C - 28°C,Sphagnum/Perlite,BT-DC-001,Moderate,Full Sun/Cool Roots,Seedling (5cm Pot),DARLINGTONIA-CALIFORNICA-S,65.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,"https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica,_by_Mary_Vaux_Walcott.jpg?width=1024",1
,darlingtonia-californica,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DARLINGTONIA-CALIFORNICA-E,94.25,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_Macfarlane_illustration.jpg?width=1024,2
,darlingtonia-californica,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DARLINGTONIA-CALIFORNICA-L,162.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica.jpg?width=1024,3
,darlingtonia-californica,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica_3.jpg?width=1024,4
,darlingtonia-californica,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica_ne1.JPG?width=1024,5
Byblis liniflora (Rainbow Plant),byblis-liniflora,A fast-growing Australian annual that glistens with resinous traps in the sunlight.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Byblis,"Coll: Beginners, Level: Easy, Region: Australia, Status: Verified",TRUE,active,Pot Size,Byblis liniflora,Northern Australia,0-500m,60%+,20°C - 35°C,Peat/Sand,BT-BY-001,Very Fast,Full Sun,Seedling (5cm Pot),BYBLIS-LINIFLORA-S,22.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_liniflora_3_flowering.jpg?width=1024,1
,byblis-liniflora,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),BYBLIS-LINIFLORA-E,31.9,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/ByblisLinifloraFlora.JPG?width=1024,2
,byblis-liniflora,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),BYBLIS-LINIFLORA-L,55.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/ByblisLinifloraHabitus.JPG?width=1024,3
,byblis-liniflora,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_liniflora_capsule1.JPG?width=1024,4
,byblis-liniflora,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_liniflora_capsule2.JPG?width=1024,5
Drosophyllum lusitanicum (Dewy Pine),drosophyllum-lusitanicum,The dewy pine is a unique dry-growing carnivorous plant from Portugal and Spain with honey-scented leaves.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosophyllum,"Coll: Rare Species, Level: Intermediate, Region: Mediterranean, Status: Verified",TRUE,active,Pot Size,Drosophyllum lusitanicum,Portugal/Spain,0-1000m,30-50%,5°C - 35°C,Mineral/Sandy (Dry),BT-DL-001,Moderate,Extreme Sun,Seedling (5cm Pot),DROSOPHYLLUM-LUSITANICUM-S,120.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_a.JPG?width=1024,1
,drosophyllum-lusitanicum,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSOPHYLLUM-LUSITANICUM-E,174.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_ne.jpg?width=1024,2
,drosophyllum-lusitanicum,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSOPHYLLUM-LUSITANICUM-L,300.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_kz06.jpg?width=1024,3
,drosophyllum-lusitanicum,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_kz03.jpg?width=1024,4
,drosophyllum-lusitanicum,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_kz01.jpg?width=1024,5
Sarracenia flava (Yellow Trumpet),sarracenia-flava,"The elegant Yellow Trumpet pitcher plant, a staple of the North American bogs.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Sarracenia,"Coll: Beginners, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Sarracenia flava,Southeastern USA,0-300m,40%+,-5°C - 35°C,Peat/Perlite (Wet),BT-SF-001,Moderate,Full Sun,Seedling (5cm Pot),SARRACENIA-FLAVA-S,35.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_flava.JPG?width=1024,1
,sarracenia-flava,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),SARRACENIA-FLAVA-E,50.75,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_flava_(19317814192).jpg?width=1024,2
,sarracenia-flava,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),SARRACENIA-FLAVA-L,87.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_flava_2zz.jpg?width=1024,3
,sarracenia-flava,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_flava_001.jpg?width=1024,4
,sarracenia-flava,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Sarraceniaceae_Sarracenia_flava_3.jpg?width=1024,5
Dionaea muscipula (Venus Flytrap),dionaea-muscipula,The world's most iconic carnivorous plant. Produces rapid-shutting snap traps to catch insects.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Dionaea,"Coll: Beginners, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Dionaea muscipula,"North/South Carolina, USA",0-100m,50%+,-5°C - 35°C,Peat/Sand,BT-DM-001,Moderate,Full Sun,Seedling (5cm Pot),DIONAEA-MUSCIPULA-S,45.0,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/01_Venusfliegenfalle.jpg?width=1024,1
,dionaea-muscipula,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DIONAEA-MUSCIPULA-E,65.25,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula.jpg?width=1024,2
,dionaea-muscipula,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DIONAEA-MUSCIPULA-L,112.5,shopify,10.0,deny,manual,TRUE,TRUE,500.0,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_1.jpg?width=1024,3
,dionaea-muscipula,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_001.JPG?width=1024,4
,dionaea-muscipula,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_2.jpg?width=1024,5
