URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
pinguicula-moranensis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),PINGUICULA-MORANENSIS-E,40.6,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_moranensis_flower.jpg?width=1024,2.0
pinguicula-moranensis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),PINGUICULA-MORANENSIS-L,70.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
heliamphora-nutans,Heliamphora nutans,"The first Heliamphora ever discovered. Known for its elegant, nodding flowers.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Heliamphora,"Coll: Rare Species, Level: Expert, Region: South America, Status: Verified",TRUE,active,Pot Size,Heliamphora nutans,"Mount Roraima, Venezuela",2000-2800m,70%+,5°C - 22°C,Sphagnum/Perlite,BT-HN-001,Slow,High Intensity,Seedling (5cm Pot),HELIAMPHORA-NUTANS-S,210.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_nutans_1.jpg?width=1024,1.0
heliamphora-nutans,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),HELIAMPHORA-NUTANS-E,304.5,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_nutans_flower.jpg?width=1024,2.0
heliamphora-nutans,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),HELIAMPHORA-NUTANS-L,525.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
cephalotus-follicularis-eden-black,Cephalotus follicularis 'Eden Black',A famous cultivar known for turning nearly jet black under intense lighting.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Cephalotus,"Coll: Rare Species, Level: Intermediate, Region: Australia, Status: Verified",TRUE,active,Pot Size,Cephalotus follicularis,Australia,0-50m,60%+,10°C - 30°C,Peat/Sand/Perlite,BT-CF-EB,Slow,Intense,Seedling (5cm Pot),CEPHALOTUS-FOLLICULARIS-EDEN-BLACK-S,350.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_clump.jpg?width=1024,1.0
cephalotus-follicularis-eden-black,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),CEPHALOTUS-FOLLICULARIS-EDEN-BLACK-E,507.5,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Cephalotus_follicularis_black.jpg?width=1024,2.0
cephalotus-follicularis-eden-black,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),CEPHALOTUS-FOLLICULARIS-EDEN-BLACK-L,875.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
utricularia-sandersonii,Utricularia sandersonii (Rabbit Ears),Adorable flowers that resemble rabbit ears. Grows as a thick green mat.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Utricularia,"Coll: Beginners, Level: Easy, Region: South Africa, Status: Verified",TRUE,active,Pot Size,Utricularia sandersonii,South Africa,0-1200m,60%+,15°C - 28°C,Peat/Perlite,BT-US-001,Vigorous,Bright Indirect,Seedling (5cm Pot),UTRICULARIA-SANDERSONII-S,25.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_sandersonii_1.jpg?width=1024,1.0
utricularia-sandersonii,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),UTRICULARIA-SANDERSONII-E,36.25,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_sandersonii_flower.jpg?width=1024,2.0
utricularia-sandersonii,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),UTRICULARIA-SANDERSONII-L,62.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
darlingtonia-californica-red,Darlingtonia californica 'Red Form',A stunning variant of the cobra lily that displays deep red coloration in high light.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Darlingtonia,"Coll: Rare Species, Level: Intermediate, Region: North America, Status: Verified",TRUE,active,Pot Size,Darlingtonia californica,"California, USA",0-2000m,50%+,4°C - 25°C,Sphagnum/Perlite,BT-DC-002,Moderate,Full Sun,Seedling (5cm Pot),DARLINGTONIA-CALIFORNICA-RED-S,85.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica_1.jpg?width=1024,1.0
darlingtonia-californica-red,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DARLINGTONIA-CALIFORNICA-RED-E,123.25,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Darlingtonia_californica_red.jpg?width=1024,2.0
darlingtonia-californica-red,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DARLINGTONIA-CALIFORNICA-RED-L,212.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
byblis-gigantea,Byblis gigantea,"The perennial 'Giant Rainbow Plant' from Western Australia. Produces large, woody stems.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Byblis,"Coll: Rare Species, Level: Intermediate, Region: Australia, Status: Verified",TRUE,active,Pot Size,Byblis gigantea,Western Australia,0-300m,40-60%,15°C - 32°C,Sand/Peat,BT-BG-001,Moderate,Intense Sun,Seedling (5cm Pot),BYBLIS-GIGANTEA-S,55.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_gigantea_1.jpg?width=1024,1.0
byblis-gigantea,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),BYBLIS-GIGANTEA-E,79.75,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_gigantea_flower.jpg?width=1024,2.0
byblis-gigantea,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),BYBLIS-GIGANTEA-L,137.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
drosophyllum-lusitanicum-specimen,Drosophyllum lusitanicum (Established Specimen),"A large, established specimen of the dewy pine. Extremely efficient insect catcher.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosophyllum,"Coll: Rare Species, Level: Intermediate, Region: Mediterranean, Status: Verified",TRUE,active,Pot Size,Drosophyllum lusitanicum,Portugal,0-1000m,30-50%,5°C - 35°C,Mineral/Sandy,BT-DL-002,Moderate,Full Sun,Seedling (5cm Pot),DROSOPHYLLUM-LUSITANICUM-SPECIMEN-S,180.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_1.jpg?width=1024,1.0
drosophyllum-lusitanicum-specimen,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSOPHYLLUM-LUSITANICUM-SPECIMEN-E,261.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosophyllum_lusitanicum_plant.jpg?width=1024,2.0
drosophyllum-lusitanicum-specimen,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSOPHYLLUM-LUSITANICUM-SPECIMEN-L,450.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
sarracenia-leucophylla,Sarracenia leucophylla (White Top),Famous for its stunning white-topped pitchers with red veins. Most beautiful in autumn.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Sarracenia,"Coll: Beginners, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Sarracenia leucophylla,"Gulf Coast, USA",0-100m,40%+,-5°C - 35°C,Peat/Perlite,BT-SL-001,Fast,Full Sun,Seedling (5cm Pot),SARRACENIA-LEUCOPHYLLA-S,42.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_leucophylla_1.jpg?width=1024,1.0
sarracenia-leucophylla,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),SARRACENIA-LEUCOPHYLLA-E,60.9,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_leucophylla_autumn.jpg?width=1024,2.0
sarracenia-leucophylla,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),SARRACENIA-LEUCOPHYLLA-L,105.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
dionaea-muscipula-akai-ryu,Dionaea muscipula 'Akai Ryu' (Red Dragon),A striking Venus Flytrap cultivar that is deep maroon/red over the entire plant.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Dionaea,"Coll: Rare Species, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Dionaea muscipula,USA,0-100m,50%+,-5°C - 35°C,Peat/Sand,BT-DM-AR,Moderate,Intense Sun,Seedling (5cm Pot),DIONAEA-MUSCIPULA-AKAI-RYU-S,55.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_3.jpg?width=1024,1.0
dionaea-muscipula-akai-ryu,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DIONAEA-MUSCIPULA-AKAI-RYU-E,79.75,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_red_dragon.jpg?width=1024,2.0
dionaea-muscipula-akai-ryu,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DIONAEA-MUSCIPULA-AKAI-RYU-L,137.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
