URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
sarracenia-alabamensis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),SARRACENIA-ALABAMENSIS-E,69.6,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_flower.jpg?width=1024,2.0
sarracenia-alabamensis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),SARRACENIA-ALABAMENSIS-L,120.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-macrophylla-trusmadi,Nepenthes macrophylla,"The 'Big-Leaved' Pitcher plant from Mount Trusmadi. Known for its massive, woody pitchers and aggressive peristome ribs.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Rare Species, Level: Expert, Region: Borneo, Status: Verified, Toothy",TRUE,active,Pot Size,Nepenthes macrophylla,"Mount Trusmadi, Borneo",2000m+,85%+,10°C - 20°C,Sphagnum/Peat,BT-NM-001,Slow,Bright Filtered,Seedling (5cm Pot),NEPENTHES-MACROPHYLLA-TRUSMADI-S,820.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_macrophylla_pitcher.jpg?width=1024,1.0
nepenthes-macrophylla-trusmadi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-MACROPHYLLA-TRUSMADI-E,1189.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_macrophylla_lid.jpg?width=1024,2.0
nepenthes-macrophylla-trusmadi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-MACROPHYLLA-TRUSMADI-L,2050.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
drosera-regia-giant,Drosera regia (King Sundew),The King of the Sundews. Produces massive leaves up to 1 meter long that can wrap around large insects like flies and moths.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Rare Species, Level: Intermediate, Region: South Africa, Status: Verified",TRUE,active,Pot Size,Drosera regia,"Bainskloof, South Africa",500-900m,60%+,10°C - 25°C,Live Sphagnum/Perlite,BT-DR-001,Moderate,High Intensity,Seedling (5cm Pot),DROSERA-REGIA-GIANT-S,145.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_regia_1.jpg?width=1024,1.0
drosera-regia-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-REGIA-GIANT-E,210.25,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_regia_dew.jpg?width=1024,2.0
drosera-regia-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-REGIA-GIANT-L,362.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
utricularia-nelumbifolia,Utricularia nelumbifolia,A stunning aquatic bladderwort with lily-pad like leaves that often grows in the water-filled axils of bromeliads.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Utricularia,"Coll: Tropicals, Level: Intermediate, Region: South America, Status: Verified",TRUE,active,Pot Size,Utricularia nelumbifolia,Brazil,800-2500m,70%+,15°C - 26°C,Water/Sphagnum,BT-UN-001,Moderate,Filtered Sun,Seedling (5cm Pot),UTRICULARIA-NELUMBIFOLIA-S,65.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_nelumbifolia_leaf.jpg?width=1024,1.0
utricularia-nelumbifolia,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),UTRICULARIA-NELUMBIFOLIA-E,94.25,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_flower.jpg?width=1024,2.0
utricularia-nelumbifolia,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),UTRICULARIA-NELUMBIFOLIA-L,162.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
heliamphora-heterodoxa,Heliamphora heterodoxa,One of the most adaptable and heat-tolerant Heliamphora species. Perfect for growers new to Sun Pitchers.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Heliamphora,"Coll: Beginners, Level: Easy, Region: South America, Status: Verified",TRUE,active,Pot Size,Heliamphora heterodoxa,"Gran Sabana, Venezuela",1200-2200m,60%+,15°C - 28°C,Sphagnum/Perlite,BT-HH-001,Moderate,High Intensity,Seedling (5cm Pot),HELIAMPHORA-HETERODOXA-S,115.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_heterodoxa_1.jpg?width=1024,1.0
heliamphora-heterodoxa,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),HELIAMPHORA-HETERODOXA-E,166.75,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_pitcher.jpg?width=1024,2.0
heliamphora-heterodoxa,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),HELIAMPHORA-HETERODOXA-L,287.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
byblis-guehoi,Byblis guehoi,A branching perennial rainbow plant from Australia. Produces spectacular purple flowers and glistening sticky leaves.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Byblis,"Coll: Rare Species, Level: Intermediate, Region: Australia, Status: Verified",TRUE,active,Pot Size,Byblis guehoi,"Kimberley Region, Australia",0-100m,50%+,20°C - 38°C,Peat/Sand,BT-BG-001,Fast,Full Sun,Seedling (5cm Pot),BYBLIS-GUEHOI-S,45.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_guehoi_1.jpg?width=1024,1.0
byblis-guehoi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),BYBLIS-GUEHOI-E,65.25,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Byblis_flower.jpg?width=1024,2.0
byblis-guehoi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),BYBLIS-GUEHOI-L,112.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
dionaea-muscipula-alien,Dionaea muscipula 'Alien',"An bizarre cultivar with long, arched traps and extreme tooth serrations that resemble something from another world.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Dionaea,"Coll: Rare Species, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Dionaea muscipula,USA,0-100m,50%+,0°C - 35°C,Peat/Sand,BT-DM-ALN,Moderate,Full Sun,Seedling (5cm Pot),DIONAEA-MUSCIPULA-ALIEN-S,68.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_muscipula_Alien_1.jpg?width=1024,1.0
dionaea-muscipula-alien,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DIONAEA-MUSCIPULA-ALIEN-E,98.6,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Dionaea_trap.jpg?width=1024,2.0
dionaea-muscipula-alien,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DIONAEA-MUSCIPULA-ALIEN-L,170.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
utricularia-reniformis-giant,Utricularia reniformis (Giant Form),Produces kidney-shaped leaves that can reach 15cm across. A stunning addition to any collection.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Utricularia,"Coll: Tropicals, Level: Intermediate, Region: Brazil, Status: Verified",TRUE,active,Pot Size,Utricularia reniformis,Brazil,1000-2000m,70%+,12°C - 26°C,Sphagnum/Orchid Bark,BT-UR-001,Moderate,Filtered Sun,Seedling (5cm Pot),UTRICULARIA-RENIFORMIS-GIANT-S,72.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_reniformis_leaf.jpg?width=1024,1.0
utricularia-reniformis-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),UTRICULARIA-RENIFORMIS-GIANT-E,104.4,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Utricularia_flower.jpg?width=1024,2.0
utricularia-reniformis-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),UTRICULARIA-RENIFORMIS-GIANT-L,180.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
sarracenia-purpurea-venosa,Sarracenia purpurea subsp. venosa,"The southern purple pitcher plant. Squat, hairy pitchers that turn a deep burgundy color in the sun.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Sarracenia,"Coll: Beginners, Level: Easy, Region: North America, Status: Verified",TRUE,active,Pot Size,Sarracenia purpurea subsp. venosa,Southeastern USA,0-100m,40%+,0°C - 35°C,Peat/Sand,BT-SP-V,Moderate,Full Sun,Seedling (5cm Pot),SARRACENIA-PURPUREA-VENOSA-S,28.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_purpurea_1.jpg?width=1024,1.0
sarracenia-purpurea-venosa,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),SARRACENIA-PURPUREA-VENOSA-E,40.6,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_pitcher.jpg?width=1024,2.0
sarracenia-purpurea-venosa,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),SARRACENIA-PURPUREA-VENOSA-L,70.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
drosera-anglica,Drosera anglica (Great Sundew),"A temperate sundew that produces long, upright leaves. It is one of the few sundews that is circumboreal.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Rare Species, Level: Intermediate, Region: Northern Hemisphere, Status: Verified",TRUE,active,Pot Size,Drosera anglica,"Europe, North America, Japan",0-2000m,50%+,0°C - 25°C,Sphagnum/Peat,BT-DA-001,Moderate,Full Sun,Seedling (5cm Pot),DROSERA-ANGLICA-S,24.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_anglica_1.jpg?width=1024,1.0
drosera-anglica,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-ANGLICA-E,34.8,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_anglica_dew.jpg?width=1024,2.0
drosera-anglica,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-ANGLICA-L,60.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
